Label (Grouping),Puerto Rico!!Total!!Estimate
Total population,"3,583,073"
AGE,
    Under 5 years,197069
    5 to 9 years,214984
    10 to 14 years,240066
    15 to 19 years,257981
    20 to 24 years,257981
    25 to 29 years,225734
    30 to 34 years,229317
    35 to 39 years,225734
    40 to 44 years,232900
    45 to 49 years,236483
    50 to 54 years,236483
    55 to 59 years,218567
    60 to 64 years,214984
    65 to 69 years,193486
    70 to 74 years,150489
    75 to 79 years,111075
    80 to 84 years,75245
    85 years and over,71661
SELECTED AGE CATEGORIES,
    5 to 14 years,12.70%
    15 to 17 years,4.30%
    18 to 24 years,10.20%
    15 to 44 years,39.90%
    16 years and over,80.50%
    18 years and over,77.60%
    60 years and over,22.70%
    62 years and over,20.30%
    65 years and over,16.60%
    75 years and over,7.10%
SUMMARY INDICATORS,
    Median age (years),38.7
    Sex ratio (males per 100 females),91.7
    Age dependency ratio,64.1
    Old-age dependency ratio,27.3
    Child dependency ratio,36.8
PERCENT IMPUTED,
    Sex,0.10%
    Age,1.40%
