"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,386,941"
"    AGE",""
"        Under 5 years","157,638"
"        5 to 9 years","185,956"
"        10 to 14 years","207,704"
"        15 to 19 years","230,407"
"        20 to 24 years","240,838"
"        25 to 29 years","222,881"
"        30 to 34 years","199,171"
"        35 to 39 years","209,558"
"        40 to 44 years","215,099"
"        45 to 49 years","218,156"
"        50 to 54 years","227,538"
"        55 to 59 years","217,688"
"        60 to 64 years","213,684"
"        65 to 69 years","195,828"
"        70 to 74 years","163,772"
"        75 to 79 years","122,154"
"        80 to 84 years","83,314"
"        85 years and over","75,555"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","393,660"
"        15 to 17 years","136,647"
"        Under 18 years","687,945"
"        18 to 24 years","334,598"
"        15 to 44 years","1,317,954"
"        16 years and over","2,793,000"
"        18 years and over","2,698,996"
"        21 years and over","2,552,663"
"        60 years and over","854,307"
"        62 years and over","766,277"
"        65 years and over","640,623"
"        75 years and over","281,023"
"    SUMMARY INDICATORS",""
"        Median age (years)","40.9"
"        Sex ratio (males per 100 females)","90.9"
"        Age dependency ratio","64.5"
"        Old-age dependency ratio","31.1"
"        Child dependency ratio","33.4"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
